short_name	year	google_scholar_link	paper_type_and_pdf_status	downloaded
Steen 2025 integrating authentic geoscience	2025	https://scholar.google.com/scholar?q=%22Integrating%20authentic%20geoscience%20research%20into%20K%E2%80%9312%20education%20via%20measurement%20of%20microbial%20extracellular%20enzymes%20in%20natural%20waters%3A%20A%20case%20report%20of%20two%20initiatives%22	published paper/book chapter; PDF yes: 2025_Steen_GEOPATHS.pdf	TRUE
Sänger 2025 exoenzymes catalyzed transition	2025	https://scholar.google.com/scholar?q=%22Microbial%20exoenzymes%20catalyzed%20the%20transition%20to%20an%20oxygenated%20Earth%22	preprint or unpublished paper-like record; PDF no	FALSE
Coon 2024 control hydrogen concentrations	2024	https://scholar.google.com/scholar?q=%22Control%20of%20hydrogen%20concentrations%20by%20microbial%20sulfate%20reduction%20in%20two%20contrasting%20anoxic%20coastal%20sediments%22	published paper; PDF no	FALSE
Howland 2024 metagenomic characterization anaerobic	2024	https://scholar.google.com/scholar?q=%22Metagenomic%20characterization%20of%20anaerobic%20hydrocarbon%20degradation%20in%20benthic%20marine%20sediment%20core%20from%20the%20Antarctic%20Peninsula%22	published paper; PDF no	FALSE
Rosengard 2024 depth partitioning particulate	2024	https://scholar.google.com/scholar?q=%22Depth%E2%80%90Partitioning%20of%20Particulate%20Organic%20Carbon%20Composition%20in%20the%20Rising%20and%20Falling%20Stages%20of%20the%20Amazon%20River%22	published paper; PDF no	FALSE
Ruff 2024 global comparison surface	2024	https://scholar.google.com/scholar?q=%22A%20global%20comparison%20of%20surface%20and%20subsurface%20microbiomes%20reveals%20large-scale%20biodiversity%20gradients%2C%20and%20a%20marine-terrestrial%20divide%22	published paper; PDF yes: 2024_Ruff_CoDL_wrapup.pdf	TRUE
Shore 2024 simple blastn based	2024	https://scholar.google.com/scholar?q=%22A%20simple%20BLASTn-based%20approach%20generates%20novel%20insights%20into%20the%20regulation%20and%20biological%20function%20of%20type%20I%20toxin-antitoxins%22	published paper; PDF no	FALSE
Sipes 2024 depth specific distribution	2024	https://scholar.google.com/scholar?q=%22Depth-specific%20distribution%20of%20bacterial%20MAGs%20in%20permafrost%20active%20layer%20in%20Ny%20%C3%85lesund%2C%20Svalbard%20%2879%C2%B0N%29%22	published paper; PDF no	FALSE
Babjac 2023 adapting protein language	2023	https://scholar.google.com/scholar?q=%22Adapting%20Protein%20Language%20Models%20for%20Explainable%20Fine-Grained%20Evolutionary%20Pattern%20Discovery%22	published paper; PDF no	FALSE
Lloyd 2023 subsurface persistence degrading	2023	https://scholar.google.com/scholar?q=%22Subsurface%20persistence%20of%20carbon%20degrading%20microbes%20as%20thawing%20permafrost%20moves%20between%20the%20terrestrial%20and%20marine%20environments%22	published paper; PDF no	FALSE
Mahmoudi 2023 biogeochemistry earth exoenzymes	2023	https://scholar.google.com/scholar?q=%22Biogeochemistry%20of%20Earth%20before%20exoenzymes%22	published paper; PDF no	FALSE
Paul 2023 complex degradation secondary	2023	https://scholar.google.com/scholar?q=%22Complex%20organic%20matter%20degradation%20by%20secondary%20consumers%20in%20chemolithoautotrophy-based%20subsurface%20geothermal%20ecosystems%22	published paper; PDF no	FALSE
Ruff 2023 global atlas subsurface	2023	https://scholar.google.com/scholar?q=%22A%20global%20atlas%20of%20subsurface%20microbiomes%20reveals%20phylogenetic%20novelty%2C%20large%20scale%20biodiversity%20gradients%2C%20and%20a%20marine-terrestrial%20divide%22	conference abstract; PDF no	FALSE
Babjac 2022 comparison dimensionality reduction	2022	https://scholar.google.com/scholar?q=%22A%20comparison%20of%20dimensionality%20reduction%20methods%20for%20large%20biological%20data%22	published paper; PDF yes: 2022_Babjac_ACM.pdf	TRUE
Steen 2022 deep marine sediments	2022	https://scholar.google.com/scholar?q=%22Do%20deep%20marine%20sediments%20host%20unusually%20stable%20enzymes%3F%22	published paper; PDF no	FALSE
Arnosti 2021 patterns metabolism arctic	2021	https://scholar.google.com/scholar?q=%22Patterns%20of%20extracellular%20enzyme%20activities%20and%20microbial%20metabolism%20in%20an%20Arctic%20fjord%20of%20Svalbard%20and%20in%20the%20northern%20Gulf%20of%20Mexico%3A%20contrasts%20in%20carbon%20processing%20by%20pelagic%20microbial%20communities%22	published paper; PDF no	FALSE
Arnosti 2021 peptidase carbohydrate hydrolase	2021	https://scholar.google.com/scholar?q=%22Extracellular%20peptidase%20and%20carbohydrate%20hydrolase%20activities%20in%20an%20Arctic%20fjord%20%28Smeerenburgfjord%2C%20Svalbard%29%22	published paper; PDF no	FALSE
Fullerton 2021 tectonic processes biosphere	2021	https://scholar.google.com/scholar?q=%22Effect%20of%20tectonic%20processes%20on%20biosphere%E2%80%93geosphere%20feedbacks%20across%20a%20convergent%20margin%22	published paper; PDF yes: 2021_Fullterton_Costa_Rica.pdf	TRUE
Hand 2021 past present future	2021	https://scholar.google.com/scholar?q=%22On%20the%20Past%2C%20Present%2C%20and%20Future%20Role%20of%20Biology%20in%20NASA%E2%80%99s%20Exploration%20of%20our%20Solar%20System%22	published paper; PDF no	FALSE
Paradis 2021 sustained ability natural	2021	https://scholar.google.com/scholar?q=%22Sustained%20Ability%20of%20a%20Natural%20Microbial%20Community%20to%20Remove%20Nitrate%20from%20Groundwater%22	published paper; PDF yes: 2022_Paradis_et_al.pdf	TRUE
Royalty 2021 functional redundancy ocean	2021	https://scholar.google.com/scholar?q=%22Functional%20Redundancy%20in%20Ocean%20Microbiomes%20Controls%20Trait%20Stability%22	preprint or unpublished paper-like record; PDF no	FALSE
Schmidt 2021 long lifetimes degrading	2021	https://scholar.google.com/scholar?q=%22Potential%20Activities%20and%20Long%20Lifetimes%20of%20Organic%20Carbon-Degrading%20Extracellular%20Enzymes%20in%20Deep%20Subsurface%20Sediments%20of%20the%20Baltic%20Sea%22	published paper; PDF yes: 2021_Schmidt_et_al_IODP_347.pdf	TRUE
Steen 2021 changes spectrum rates	2021	https://scholar.google.com/scholar?q=%22Changes%20in%20the%20spectrum%20and%20rates%20of%20extracellular%20enzyme%20activities%20in%20seawater%20following%20aggregate%20formation%22	published paper; PDF no	FALSE
Steen 2021 substrate specificity aquatic	2021	https://scholar.google.com/scholar?q=%22Substrate%20specificity%20of%20aquatic%20extracellular%20peptidases%20assessed%20by%20competitive%20inhibition%20assays%20using%20synthetic%20substrates%22	published paper; PDF yes: 2015_Steen_Vazin_et_al_2015_substrate_specificity.pdf	TRUE
LaRowe 2020 fate marine sediments	2020	https://scholar.google.com/scholar?q=%22The%20fate%20of%20organic%20carbon%20in%20marine%20sediments%20-%20New%20insights%20from%20recent%20data%20and%20analysis%22	published paper; PDF yes: 2020_LaRowe_review.pdf	TRUE
Mahmoudi 2020 patterns diversity deep	2020	https://scholar.google.com/scholar?q=%22Patterns%20in%20extracellular%20enzyme%20activity%20and%20microbial%20diversity%20in%20deep-sea%20Mediterranean%20sediments%22	published paper; PDF yes: 2020_Mahmoudi_Med.pdf	TRUE
Murray 2020 roadmap naming uncultivated	2020	https://scholar.google.com/scholar?q=%22Roadmap%20for%20naming%20uncultivated%20Archaea%20and%20Bacteria%22	published paper; PDF yes: 2020_Murray_roadmap.pdf	TRUE
Royalty 2020 quantitative measure functional	2020	https://scholar.google.com/scholar?q=%22A%20quantitative%20measure%20of%20functional%20redundancy%20in%20microbial%20ecosystems%22	preprint or unpublished paper-like record; PDF no	FALSE
Steen 2020 analytical computational advances	2020	https://scholar.google.com/scholar?q=%22Analytical%20and%20Computational%20Advances%2C%20Opportunities%2C%20and%20Challenges%20in%20Marine%20Organic%20Biogeochemistry%20in%20an%20Era%20of%20%E2%80%9COmics%E2%80%9D%22	published paper; PDF yes: 2020_Steen_HWK_review.pdf	TRUE
Steen 2020 picky hungry eaters	2020	https://scholar.google.com/scholar?q=%22Picky%2C%20hungry%20eaters%20in%20the%20cold%3A%20persistent%20substrate%20selectivity%20among%20polar%20pelagic%20microbial%20communities%22	published paper; PDF yes: 2014_Steen_Arnosti_picky_hungry.pdf	TRUE
Ziervogel 2020 latitudinal gradients degradation	2020	https://scholar.google.com/scholar?q=%22Latitudinal%20Gradients%20in%20Degradation%20of%20Marine%20Dissolved%20Organic%20Carbon%22	published paper; PDF no	FALSE
Bird 2019 uncultured phyla suggest	2019	https://scholar.google.com/scholar?q=%22Uncultured%20Microbial%20Phyla%20Suggest%20Mechanisms%20for%20Multi-Thousand-Year%20Subsistence%20in%20Baltic%20Sea%20Sediments%22	published paper; PDF yes: 2019_Bird_et_al_Baltic.pdf	TRUE
Lang 2019 deep biosphere	2019	https://scholar.google.com/scholar?q=%22Carbon%20in%20the%20Deep%20Biosphere%22	published paper; PDF no	FALSE
Lang 2019 deep biosphere forms	2019	https://scholar.google.com/scholar?q=%22Carbon%20in%20the%20Deep%20Biosphere%3A%20Forms%2C%20Fates%2C%20and%20Biogeochemical%20Cycling%22	published paper; PDF yes: 2019_Lang_et_al_DCO_chapter.pdf	TRUE
Mends 2019 inhibitors determine mechanism	2019	https://scholar.google.com/scholar?q=%22Using%20enzyme%20inhibitors%20to%20determine%20the%20mechanism%20of%20extracellular%20peptidases%20in%20fresh%20and%20estuarine%20waters%22	conference abstract; PDF no	FALSE
Quigley 2019 characterization interactive labile	2019	https://scholar.google.com/scholar?q=%22Characterization%20of%20the%20Interactive%20Effects%20of%20Labile%20and%20Recalcitrant%20Organic%20Matter%20on%20Microbial%20Growth%20and%20Metabolism%22	published paper; PDF yes: 2019_Quigley_interactive.pdf	TRUE
Royalty 2019 quantitatively partitioning genomic	2019	https://scholar.google.com/scholar?q=%22Quantitatively%20Partitioning%20Microbial%20Genomic%20Traits%20among%20Taxonomic%20Ranks%20across%20the%20Microbial%20Tree%20of%20Life%20and%20its%20Implications%20Towards%20Subsurface%20Microbial%20Communities%22	conference abstract; PDF no	FALSE
Royalty 2019 quantitatively partitioning genomic	2019	https://scholar.google.com/scholar?q=%22Quantitatively%20Partitioning%20Microbial%20Genomic%20Traits%20among%20Taxonomic%20Ranks%20across%20the%20Microbial%20Tree%20of%20Life%22	published paper; PDF yes: 2019_Royalty_Steen_COG_partitioning.pdf	TRUE
Royalty 2019 theoretical simulation based	2019	https://scholar.google.com/scholar?q=%22Theoretical%20and%20Simulation-Based%20Investigation%20of%20the%20Relationship%20between%20Sequencing%20Effort%2C%20Microbial%20Community%20Richness%2C%20and%20Diversity%20in%20Binning%20Metagenome-Assembled%20Genomes%22	published paper; PDF yes: 2019_Royalty_Steen_MAG_sequencing.pdf	TRUE
Sala 2019 editorial aquatic environments	2019	https://scholar.google.com/scholar?q=%22Editorial%3A%20Extracellular%20Enzymes%20in%20Aquatic%20Environments%3A%20Exploring%20the%20Link%20Between%20Genomic%20Potential%20and%20Biogeochemical%20Consequences%22	published paper; PDF yes: 2019_Sala_editorial.pdf	TRUE
Senter 2019 unaligned sequence similarity	2019	https://scholar.google.com/scholar?q=%22Unaligned%20Sequence%20Similarity%20Search%20Using%20Deep%20Learning%22	preprint or unpublished paper-like record; PDF yes: 2019_Senter.pdf	TRUE
Steen 2019 degradation macromolecules arctic	2019	https://scholar.google.com/scholar?q=%22Microbial%20degradation%20of%20organic%20macromolecules%20in%20Arctic%20fjords%20and%20in%20the%20Gulf%20of%20Mexico%22	published paper; PDF no	FALSE
Steen 2019 diversity functional genes	2019	https://scholar.google.com/scholar?q=%22Diversity%20of%20functional%20genes%20in%20deeply%20branching%20uncultured%20microbes%22	conference abstract; PDF no	FALSE
Steen 2019 high proportions bacteria	2019	https://scholar.google.com/scholar?q=%22High%20proportions%20of%20bacteria%20and%20archaea%20across%20most%20biomes%20remain%20uncultured%22	published paper; PDF yes: 2019_Steen_et_al_Uncultured.pdf	TRUE
Steen 2019 kinetics identities peptidases	2019	https://scholar.google.com/scholar?q=%22Kinetics%20and%20Identities%20of%20Extracellular%20Peptidases%20in%20Subsurface%20Sediments%20of%20the%20White%20Oak%20River%20Estuary%2C%20North%20Carolina%22	published paper; PDF yes: 2019_Steen_WOR_enzymes.pdf	TRUE
Ziervogel 2019 polysaccharide hydrolysis presence	2019	https://scholar.google.com/scholar?q=%22Polysaccharide%20hydrolysis%20in%20the%20presence%20of%20oil%20and%20dispersants%3A%20Insights%20into%20potential%20degradation%20pathways%20of%20exopolymeric%20substances%20%28EPS%29%20from%20oil-degrading%20bacteria%22	published paper; PDF yes: 2019_Ziervogel_snow.pdf	TRUE
HS 2018 understanding process remineralization	2018	https://scholar.google.com/scholar?q=%22UNDERSTANDING%20THE%20PROCESS%20OF%20ORGANIC%20MATTER%20REMINERALIZATION%20AND%20ITS%20POSSIBLE%20LINK%20TO%20CYCLING%20OF%20CONTAMINANTS%20IN%20ESTUARIES%22	conference abstract; PDF no	FALSE
Lloyd 2018 phylogenetically novel uncultured	2018	https://scholar.google.com/scholar?q=%22Phylogenetically%20Novel%20Uncultured%20Microbial%20Cells%20Dominate%20Earth%20Microbiomes%22	published paper; PDF yes: 2018_Lloyd_Steen_et_al_Uncultured_Majority.pdf	TRUE
Matzek 2018 understanding electrochemically activated	2018	https://scholar.google.com/scholar?q=%22Understanding%20Electrochemically%20Activated%20Persulfate%20and%20Its%20Application%20to%20Ciprofloxacin%20Abatement%22	published paper; PDF yes: 2018_Matzek_persulfate_ciproflaxin.pdf	TRUE
McKay 2018 engaging community college	2018	https://scholar.google.com/scholar?q=%22ENGAGING%20COMMUNITY%20COLLEGE%20TRANSFER%20STUDENTS%20IN%20EXPERIENTIAL%20LEARNING%20AT%20THE%20UNIVERSITY%20OF%20TENNESSEE%22	conference abstract; PDF no	FALSE
Mullen 2018 freshwater endo acting	2018	https://scholar.google.com/scholar?q=%22Potential%20Activities%20of%20Freshwater%20Exo-%20and%20Endo-Acting%20Extracellular%20Peptidases%20in%20East%20Tennessee%20and%20the%20Pocono%20Mountains%22	published paper; PDF yes: 2018_Mullen_et_al_PEEC_TN.pdf	TRUE
Mullen 2018 sediments white river	2018	https://scholar.google.com/scholar?q=%22Activities%20of%20extracellular%20enzymes%20in%20sediments%20of%20the%20White%20Oak%20River%20estuary%20and%20Kongsfjord%2C%20Svalbard%22	conference abstract; PDF no	FALSE
Royalty 2018 evaluating sensitivity subsurface	2018	https://scholar.google.com/scholar?q=%22EVALUATING%20THE%20SENSITIVITY%20OF%20SUBSURFACE%20MICROBIAL%20METAGENOME%20ASSEMBLED%20GENOME%20PROPERTIES%20AS%20A%20FUNCTION%20OF%20METAGENOMIC%20SHOTGUN%20SEQUENCING%20DEPTH%22	conference abstract; PDF no	FALSE
Royalty 2018 simulation based approaches	2018	https://scholar.google.com/scholar?q=%22Simulation-based%20approaches%20to%20characterize%20metagenome%20coverage%20as%20a%20function%20of%20sequencing%20effort%20and%20microbial%20community%20structure%22	preprint or unpublished paper-like record; PDF no	FALSE
Royalty 2018 simulation based approaches	2018	https://scholar.google.com/scholar?q=%22Simulation-based%20approaches%20to%20characterize%20the%20effect%20of%20sequencing%20depth%20on%20the%20quantity%20and%20quality%20of%20metagenome-assembled%20genomes%22	conference abstract; PDF no	FALSE
Steen 2018 heterotrophic microorganisms kongsfjorden	2018	https://scholar.google.com/scholar?q=%22Activities%20of%20heterotrophic%20microorganisms%20and%20their%20extracellular%20enzymes%20in%20Kongsfjorden%2C%20Svalbard%22	conference abstract; PDF no	FALSE
Drumheller 2017 including citizen student	2017	https://scholar.google.com/scholar?q=%22INCLUDING%20CITIZEN%20AND%20STUDENT%20SCIENTISTS%20IN%20ACTUALISTIC%20TAPHONOMIC%20RESEARCH%3A%20THE%20GOOD%2C%20THE%20BAD%2C%20AND%20THE%20SMELLY%22	conference abstract; PDF no	FALSE
Mahmoudi 2017 sequential bioavailability sedimentary	2017	https://scholar.google.com/scholar?q=%22Sequential%20bioavailability%20of%20sedimentary%20organic%20matter%20to%20heterotrophic%20bacteria%22	published paper; PDF yes: 2017_Mahmoudi_et_al-Environmental_Microbiology.pdf	TRUE
Boerrigter 2016 study various peptidases	2016	https://scholar.google.com/scholar?q=%22Study%20of%20Various%20Peptidases%20and%20Their%20Effects%20on%20Freshwater%20Bodies%22	conference abstract; PDF no	FALSE
McKay 2016 engaging community college	2016	https://scholar.google.com/scholar?q=%22ENGAGING%20COMMUNITY%20COLLEGE%20TRANSFER%20STUDENTS%20IN%20TENNESSEE%20TO%20IMPROVE%20RECRUITMENT%2C%20RETENTION%20AND%20SUCCESS%20IN%204-YEAR%20GEOSCIENCE%20PROGRAMS%22	conference abstract; PDF no	FALSE
Murray 2016 high school students	2016	https://scholar.google.com/scholar?q=%22How%20Do%20High%20School%20Students%20Respond%20to%20Opportunities%20to%20Collaborate%20with%20Authentic%20Scientific%20Researchers%20in%20At-Risk%20Environments%3F%22	published paper/book chapter; PDF no	FALSE
Steen 2016 nature function subsurface	2016	https://scholar.google.com/scholar?q=%22The%20nature%20and%20function%20of%20microbial%20enzymes%20in%20subsurface%20marine%20sediments%22	published paper/book chapter; PDF no	FALSE
Steen 2016 peptidases subsurface sediments	2016	https://scholar.google.com/scholar?q=%22Extracellular%20peptidases%20in%20subsurface%20sediments%20of%20the%20White%20Oak%20River%20estuary%2C%20NC%2C%20suggest%20microbial%20community%20adaptation%20to%20oxidize%20degraded%20organic%20matter%22	preprint or unpublished paper-like record; PDF no	FALSE
Steen 2016 priming planktonic estuarine	2016	https://scholar.google.com/scholar?q=%22Evidence%20for%20the%20Priming%20Effect%20in%20a%20Planktonic%20Estuarine%20Microbial%20Community%22	published paper; PDF yes: 2016_Steen_Quigley_Buchan_priming.pdf	TRUE
Michalska 2015 aminopeptidase dark archaeon	2015	https://scholar.google.com/scholar?q=%22New%20aminopeptidase%20from%20%E2%80%9Cmicrobial%20dark%20matter%E2%80%9D%20archaeon%22	published paper; PDF no	FALSE
Michalska 2015 michalska bathyaminopeptidase	2015	https://scholar.google.com/scholar?q=%222015%20Michalska%20et%20al%20Bathyaminopeptidase%22	published paper or paper-like record inferred from local PDF; PDF yes: 2015_Michalska_et_al_Bathyaminopeptidase.pdf	TRUE
Steen 2015 beyond vmax details	2015	https://scholar.google.com/scholar?q=%22Beyond%20Vmax%20and%20Km%3A%20How%20details%20of%20enzyme%20function%20influence%20geochemical%20cycles%22	conference abstract; PDF no	FALSE
Steen 2015 estuarine community	2015	https://scholar.google.com/scholar?q=%22estuarine%20microbial%20community%22	published paper; PDF no	FALSE
Cardman 2014 verrucomicrobia candidates polysaccharide	2014	https://scholar.google.com/scholar?q=%22Verrucomicrobia%20Are%20Candidates%20for%20Polysaccharide-Degrading%20Bacterioplankton%20in%20an%20Arctic%20Fjord%20of%20Svalbard%22	published paper; PDF yes: 2014_Cardman_et_al_Verrucomicrobia.pdf	TRUE
Michalska 2014 structure specificity novel	2014	https://scholar.google.com/scholar?q=%22Structure%20and%20specificity%20of%20novel%20aminopeptidase%20from%20marine%20sediment%20Archaea%22	published paper; PDF no	FALSE
Tennant 2014 open letter american	2014	https://scholar.google.com/scholar?q=%22Open%20Letter%20to%20The%20American%20Association%20for%20the%20Advancement%20of%20Science%22	published paper; PDF no	FALSE
Arnosti 2013 terrestrial freshwater marine	2013	https://scholar.google.com/scholar?q=%22Extracellular%20enzymes%20in%20terrestrial%2C%20freshwater%2C%20and%20marine%20environments%3A%20perspectives%20on%20system%20variability%20and%20common%20research%20needs%22	published paper; PDF yes: 2014_Arnosti_review.pdf	TRUE
Lloyd 2013 lloyd quant metaanalysis	2013	https://scholar.google.com/scholar?q=%222013%20Lloyd%20et%20al%20quant%20metaanalysis%22	published paper or paper-like record inferred from local PDF; PDF yes: 2013_Lloyd_et_al_quant_metaanalysis.pdf	TRUE
Lloyd 2013 meta analysis quantification	2013	https://scholar.google.com/scholar?q=%22Meta-Analysis%20of%20Quantification%20Methods%20Shows%20that%20Archaea%20and%20Bacteria%20Have%20Similar%20Abundances%20in%20the%20Subseafloor%22	published paper; PDF no	FALSE
Lloyd 2013 predominant archaea marine	2013	https://scholar.google.com/scholar?q=%22Predominant%20archaea%20in%20marine%20sediments%20degrade%20detrital%20proteins%22	published paper; PDF no	FALSE
Steen 2013 abiotic racemization kinetics	2013	https://scholar.google.com/scholar?q=%22Abiotic%20Racemization%20Kinetics%20of%20Amino%20Acids%20in%20Marine%20Sediments%22	published paper; PDF no	FALSE
Steen 2013 kinetics peptidases sediments	2013	https://scholar.google.com/scholar?q=%22Kinetics%20of%20Extracellular%20Peptidases%20in%20Sediments%20of%20the%20White%20Oak%20River%2C%20NC%2C%20USA%22	conference abstract; PDF no	FALSE
Steen 2012 comment review german	2012	https://scholar.google.com/scholar?q=%22Comment%20on%20the%20review%20by%20German%20et%C2%A0al.%20%282011%29%20%E2%80%9COptimization%20of%20hydrolytic%20and%C2%A0oxidative%20enzyme%20methods%20for%20ecosystem%20studies%E2%80%9D%20%5BSoil%20Biology%20%26amp%3B%20Biochemistry%2043%3A%201387%E2%80%931397%5D%22	published paper; PDF no	FALSE
Steen 2012 fluorescence spectroscopy biogeochemical	2012	https://scholar.google.com/scholar?q=%22Fluorescence%20spectroscopy%20and%20biogeochemical%20analyses%20suggest%20chemosynthetically%20produced%20supply%20of%20reactive%20DOM%20to%20Lake%20Bonney%22	conference abstract; PDF no	FALSE
Steen 2012 functional variation among	2012	https://scholar.google.com/scholar?q=%22Functional%20variation%20among%20polysaccharide-hydrolyzing%20microbial%20communities%20in%20the%20Gulf%20of%20Mexico%22	published paper; PDF no	FALSE
Robador 2010 temperature induced decoupling	2010	https://scholar.google.com/scholar?q=%22Temperature%20induced%20decoupling%20of%20enzymatic%20hydrolysis%20and%20carbon%20remineralization%20in%20long-term%20incubations%20of%20Arctic%20and%20temperate%20sediments%22	published paper; PDF no	FALSE
Steen 2010 comparison multivariate datasets	2010	https://scholar.google.com/scholar?q=%22Comparison%20of%20multivariate%20microbial%20datasets%20with%20the%20Shannon%20index%3A%20An%20example%20using%20enzyme%20activity%20from%20diverse%20marine%20environments%22	published paper; PDF no	FALSE
Steen 2010 long lifetimes glucosidase	2010	https://scholar.google.com/scholar?q=%22Long%20lifetimes%20of%20%CE%B2-glucosidase%2C%20leucine%20aminopeptidase%2C%20and%20phosphatase%20in%20Arctic%20seawater%22	published paper; PDF no	FALSE
Robador 2009 temperature sensitivity enzymatic	2009	https://scholar.google.com/scholar?q=%22Temperature%20sensitivity%20of%20extracellular%20enzymatic%20hydrolysis%20in%20Arctic%20and%20temperate%20marine%20sediments%22	published paper; PDF no	FALSE
Brüchert 2008 temperature sensitivity bacterial	2008	https://scholar.google.com/scholar?q=%22Temperature%20sensitivity%20of%20bacterial%20carbohydrate%20hydrolysis%20in%20Arctic%20and%20temperate%20marine%20sediments%22	published paper; PDF no	FALSE
Steen 2008 dynamics dissolved carbohydrates	2008	https://scholar.google.com/scholar?q=%22Dynamics%20of%20dissolved%20carbohydrates%20in%20the%20Chesapeake%20Bay%3A%20Insights%20from%20enzyme%20activities%2C%20concentrations%2C%20and%20microbial%20metabolism%22	published paper; PDF no	FALSE
Steen 2008 fluorescence anisotropy means	2008	https://scholar.google.com/scholar?q=%22Fluorescence%20anisotropy%20as%20a%20means%20to%20determine%20extracellular%20polysaccharide%20hydrolase%20activity%20in%20environmental%20samples%22	published paper; PDF no	FALSE
Steen 2006 electron paramagnetic resonance	2006	https://scholar.google.com/scholar?q=%22Electron%20paramagnetic%20resonance%20spectroscopy%20as%20a%20novel%20approach%20to%20measure%20macromolecule%E2%80%93surface%20interactions%20and%20activities%20of%20extracellular%20enzymes%22	published paper; PDF no	FALSE
